TailNumber,Origin,Destination,TravelDate,TravelTime,SeatPrice,Capacity,AircraftName,FirstName,LastName,DOB
V3243,ATL,MSP,2019-07-20,4,295.69,114,Boeing-747,Robert,Greene,MTk5MS0xMS0wOQ==
N2413,MCO,PHX,2019-11-07,9,497.25,74,Airbus-A350,Russell,Brown,MTk5Mi0xMS0xNA==
V3243,ORD,FLL,2019-11-03,3,382.52,114,Boeing-747,Robert,Greene,MTk5MS0xMS0wOQ==
Q2705,JFK,EWR,2019-09-17,7,397.79,125,Boeing-777,Phil,Fury,MTk4Ni0xMS0wOA==
X2978,MCO,PHL,2019-08-21,9,451.37,59,Boeing-777,Russell,Brown,MTk5Mi0xMS0xNA==
D2204,JFK,MIA,2020-02-17,7,390.73,23,Boeing-787,Emily,Anderson,MTk5My0wMy0yMA==
K2295,SFO,DTW,2019-05-16,6,403.87,194,Boeing-767,Emily,Anderson,MTk5My0wMy0yMA==
X2978,ATL,PHL,2019-08-13,4,247.51,59,Boeing-777,Phil,Fury,MTk4Ni0xMS0wOA==
T3231,LAS,CLT,2019-08-07,4,439.22,225,Boeing-787,Emily,Anderson,MTk5My0wMy0yMA==
N2413,DFW,PHL,2019-07-01,9,338.28,74,Airbus-A350,Robert,Greene,MTk5MS0xMS0wOQ==
Z2791,SFO,DTW,2019-05-24,2,484.62,46,Boeing-787,Phil,Fury,MTk4Ni0xMS0wOA==
R2942,DFW,DTW,2019-12-01,7,493.54,204,Boeing-767,Phil,Fury,MTk4Ni0xMS0wOA==
U2808,LAX,CLT,2019-12-27,5,207.88,75,Airbus-A380,Robert,Greene,MTk5MS0xMS0wOQ==
U2999,SEA,PHL,2020-02-20,7,387.99,211,Airbus-A330,Phil,Fury,MTk4Ni0xMS0wOA==
V3243,SEA,FLL,2019-09-05,4,230.69,114,Boeing-747,Emily,Anderson,MTk5My0wMy0yMA==
Z2791,ATL,BOS,2019-10-11,3,312.51,46,Boeing-787,Phil,Fury,MTk4Ni0xMS0wOA==
R2942,DEN,PHX,2019-09-04,7,459.02,204,Boeing-767,Emily,Anderson,MTk5My0wMy0yMA==
M2286,DEN,MIA,2019-09-16,8,71.0,174,Boeing-787,Phil,Fury,MTk4Ni0xMS0wOA==
T3231,SFO,MSP,2019-08-30,4,339.14,225,Boeing-787,Phil,Fury,MTk4Ni0xMS0wOA==
U2999,ORD,IAH,2020-02-27,1,370.17,211,Airbus-A330,Phil,Fury,MTk4Ni0xMS0wOA==
M2286,LAX,PHL,2020-01-14,8,439.25,174,Boeing-787,Phil,Fury,MTk4Ni0xMS0wOA==
R2942,SFO,MSP,2020-01-06,9,308.86,204,Boeing-767,Russell,Brown,MTk5Mi0xMS0xNA==
U2808,JFK,BOS,2019-05-31,6,241.77,75,Airbus-A380,Emily,Anderson,MTk5My0wMy0yMA==
K2295,SFO,BOS,2019-11-11,2,305.61,194,Boeing-767,Phil,Fury,MTk4Ni0xMS0wOA==
O2858,JFK,DTW,2020-04-21,1,216.46,89,Boeing-777,Russell,Brown,MTk5Mi0xMS0xNA==
N2413,ATL,EWR,2019-12-26,9,477.61,74,Airbus-A350,Emily,Anderson,MTk5My0wMy0yMA==
U2808,LAS,PHL,2019-07-09,3,174.74,75,Airbus-A380,Russell,Brown,MTk5Mi0xMS0xNA==
N3093,ATL,MIA,2020-01-21,5,73.17,85,Airbus-A340,Emily,Anderson,MTk5My0wMy0yMA==
M2286,SEA,FLL,2019-05-09,3,249.29,174,Boeing-787,Russell,Brown,MTk5Mi0xMS0xNA==
U2698,DEN,MSP,2019-08-24,10,245.32,122,Boeing-787,Emily,Anderson,MTk5My0wMy0yMA==
O2858,SFO,FLL,2019-07-17,9,404.91,89,Boeing-777,Russell,Brown,MTk5Mi0xMS0xNA==
N2355,JFK,PHX,2020-03-23,8,449.94,67,Boeing-777,Emily,Anderson,MTk5My0wMy0yMA==
V2774,DFW,DTW,2019-09-26,10,184.27,142,Boeing-747,Robert,Greene,MTk5MS0xMS0wOQ==
M2286,LAX,EWR,2019-08-18,4,85.77,174,Boeing-787,Emily,Anderson,MTk5My0wMy0yMA==
Z2791,SFO,MIA,2019-06-20,10,271.07,46,Boeing-787,Robert,Greene,MTk5MS0xMS0wOQ==
R3228,LAX,PHX,2019-12-23,5,419.09,62,Boeing-787,Phil,Fury,MTk4Ni0xMS0wOA==
R3228,DFW,EWR,2019-04-30,3,57.99,62,Boeing-787,Robert,Greene,MTk5MS0xMS0wOQ==
V3243,LAX,IAH,2019-07-12,9,222.19,114,Boeing-747,Robert,Greene,MTk5MS0xMS0wOQ==
O2858,DFW,CLT,2019-12-02,3,61.03,89,Boeing-777,Russell,Brown,MTk5Mi0xMS0xNA==
R2942,ATL,PHX,2019-05-26,6,436.46,204,Boeing-767,Russell,Brown,MTk5Mi0xMS0xNA==
O2858,ATL,MIA,2019-09-26,8,228.46,89,Boeing-777,Phil,Fury,MTk4Ni0xMS0wOA==
T3231,SEA,PHL,2019-07-19,1,196.03,225,Boeing-787,Russell,Brown,MTk5Mi0xMS0xNA==
N2413,MCO,MSP,2019-10-02,10,76.89,74,Airbus-A350,Russell,Brown,MTk5Mi0xMS0xNA==
D3204,ATL,EWR,2020-01-17,2,416.72,29,Airbus-A380,Robert,Greene,MTk5MS0xMS0wOQ==
Q2705,DFW,PHX,2020-02-07,4,249.1,125,Boeing-777,Emily,Anderson,MTk5My0wMy0yMA==
V2774,SFO,EWR,2019-05-02,3,242.21,142,Boeing-747,Robert,Greene,MTk5MS0xMS0wOQ==
Z2791,DEN,MSP,2019-12-10,9,321.84,46,Boeing-787,Phil,Fury,MTk4Ni0xMS0wOA==
Z2791,DEN,FLL,2019-06-13,1,75.32,46,Boeing-787,Emily,Anderson,MTk5My0wMy0yMA==
T3231,DFW,PHX,2019-07-16,6,427.69,225,Boeing-787,Phil,Fury,MTk4Ni0xMS0wOA==
R2942,SEA,EWR,2019-09-20,6,353.14,204,Boeing-767,Russell,Brown,MTk5Mi0xMS0xNA==
O2806,SFO,PHX,2019-09-23,1,449.29,133,Airbus-A350,Emily,Anderson,MTk5My0wMy0yMA==
Z2791,DFW,DTW,2019-11-27,6,173.42,46,Boeing-787,Phil,Fury,MTk4Ni0xMS0wOA==
N2355,DFW,MIA,2020-02-06,7,228.24,67,Boeing-777,Robert,Greene,MTk5MS0xMS0wOQ==
O2806,LAX,FLL,2019-09-20,3,271.58,133,Airbus-A350,Phil,Fury,MTk4Ni0xMS0wOA==
D3204,MCO,DTW,2019-07-16,8,140.58,29,Airbus-A380,Emily,Anderson,MTk5My0wMy0yMA==
V3243,JFK,DTW,2020-01-24,7,323.23,114,Boeing-747,Robert,Greene,MTk5MS0xMS0wOQ==
U2808,DFW,EWR,2019-12-07,9,470.95,75,Airbus-A380,Emily,Anderson,MTk5My0wMy0yMA==
R2942,ORD,MIA,2019-09-30,2,421.74,204,Boeing-767,Phil,Fury,MTk4Ni0xMS0wOA==
D3204,DFW,BOS,2020-01-15,2,394.74,29,Airbus-A380,Robert,Greene,MTk5MS0xMS0wOQ==
R2942,DEN,FLL,2020-02-01,10,498.62,204,Boeing-767,Robert,Greene,MTk5MS0xMS0wOQ==
N2413,JFK,MSP,2019-04-27,6,155.78,74,Airbus-A350,Emily,Anderson,MTk5My0wMy0yMA==
U2999,LAS,PHX,2020-03-07,8,331.24,211,Airbus-A330,Phil,Fury,MTk4Ni0xMS0wOA==
V3243,MCO,IAH,2019-05-03,5,494.51,114,Boeing-747,Russell,Brown,MTk5Mi0xMS0xNA==
R2942,LAS,MIA,2019-10-12,7,346.43,204,Boeing-767,Robert,Greene,MTk5MS0xMS0wOQ==
Z2791,MCO,PHL,2019-09-23,3,131.77,46,Boeing-787,Emily,Anderson,MTk5My0wMy0yMA==
R3228,SFO,FLL,2020-03-03,9,204.64,62,Boeing-787,Russell,Brown,MTk5Mi0xMS0xNA==
K2295,MCO,EWR,2019-10-08,5,464.36,194,Boeing-767,Emily,Anderson,MTk5My0wMy0yMA==
M2286,MCO,DTW,2019-09-20,5,284.84,174,Boeing-787,Russell,Brown,MTk5Mi0xMS0xNA==
K2295,ATL,DTW,2020-04-06,8,345.73,194,Boeing-767,Emily,Anderson,MTk5My0wMy0yMA==
N2355,DEN,IAH,2019-05-05,1,304.74,67,Boeing-777,Emily,Anderson,MTk5My0wMy0yMA==
D3204,DFW,MSP,2020-04-04,9,200.29,29,Airbus-A380,Russell,Brown,MTk5Mi0xMS0xNA==
K2295,SFO,FLL,2019-10-19,8,368.04,194,Boeing-767,Phil,Fury,MTk4Ni0xMS0wOA==
R2942,LAS,CLT,2020-01-07,9,191.37,204,Boeing-767,Phil,Fury,MTk4Ni0xMS0wOA==
N3093,DFW,MIA,2020-03-20,9,266.51,85,Airbus-A340,Phil,Fury,MTk4Ni0xMS0wOA==
X2978,ATL,BOS,2020-03-07,7,97.07,59,Boeing-777,Russell,Brown,MTk5Mi0xMS0xNA==
V2774,LAS,MSP,2020-02-09,8,261.07,142,Boeing-747,Emily,Anderson,MTk5My0wMy0yMA==
N2413,MCO,BOS,2019-12-17,5,175.2,74,Airbus-A350,Emily,Anderson,MTk5My0wMy0yMA==
U2808,DFW,EWR,2019-10-07,7,207.28,75,Airbus-A380,Russell,Brown,MTk5Mi0xMS0xNA==
N2413,LAS,MIA,2019-11-10,2,227.97,74,Airbus-A350,Emily,Anderson,MTk5My0wMy0yMA==
R2942,DEN,BOS,2020-04-09,5,76.58,204,Boeing-767,Phil,Fury,MTk4Ni0xMS0wOA==
U2698,ATL,PHX,2019-11-22,2,385.73,122,Boeing-787,Robert,Greene,MTk5MS0xMS0wOQ==
O2858,ATL,FLL,2019-09-07,3,261.25,89,Boeing-777,Phil,Fury,MTk4Ni0xMS0wOA==
Z2791,SFO,IAH,2019-05-26,10,476.74,46,Boeing-787,Emily,Anderson,MTk5My0wMy0yMA==
N2355,ATL,BOS,2020-03-07,9,455.65,67,Boeing-777,Robert,Greene,MTk5MS0xMS0wOQ==
U2698,SFO,IAH,2019-07-06,9,194.64,122,Boeing-787,Phil,Fury,MTk4Ni0xMS0wOA==
Z2791,LAS,IAH,2020-03-04,3,468.15,46,Boeing-787,Robert,Greene,MTk5MS0xMS0wOQ==
R3228,LAS,MSP,2019-08-21,6,270.25,62,Boeing-787,Russell,Brown,MTk5Mi0xMS0xNA==
N2413,MCO,FLL,2020-01-19,8,374.95,74,Airbus-A350,Emily,Anderson,MTk5My0wMy0yMA==
N2355,JFK,EWR,2020-02-18,7,136.92,67,Boeing-777,Phil,Fury,MTk4Ni0xMS0wOA==
D3204,DEN,PHL,2019-10-15,6,251.94,29,Airbus-A380,Russell,Brown,MTk5Mi0xMS0xNA==
Z2791,DFW,BOS,2019-06-24,3,92.43,46,Boeing-787,Robert,Greene,MTk5MS0xMS0wOQ==
U2808,ATL,FLL,2019-06-07,10,282.82,75,Airbus-A380,Emily,Anderson,MTk5My0wMy0yMA==
D3204,JFK,EWR,2020-02-14,4,103.19,29,Airbus-A380,Russell,Brown,MTk5Mi0xMS0xNA==
X2978,MCO,EWR,2019-10-18,10,126.1,59,Boeing-777,Russell,Brown,MTk5Mi0xMS0xNA==
T3231,LAX,CLT,2019-10-30,4,388.86,225,Boeing-787,Russell,Brown,MTk5Mi0xMS0xNA==
D3204,DEN,IAH,2020-01-01,6,169.47,29,Airbus-A380,Russell,Brown,MTk5Mi0xMS0xNA==
O2858,LAS,CLT,2020-03-26,9,325.83,89,Boeing-777,Emily,Anderson,MTk5My0wMy0yMA==
R3228,MCO,PHL,2019-08-29,2,168.72,62,Boeing-787,Robert,Greene,MTk5MS0xMS0wOQ==
V2774,JFK,MIA,2020-02-26,4,470.54,142,Boeing-747,Robert,Greene,MTk5MS0xMS0wOQ==
V3243,LAX,IAH,2019-05-23,6,382.96,114,Boeing-747,Robert,Greene,MTk5MS0xMS0wOQ==
V2774,DEN,MSP,2020-04-03,8,408.87,142,Boeing-747,Russell,Brown,MTk5Mi0xMS0xNA==
D3204,LAS,DTW,2019-06-24,9,342.96,29,Airbus-A380,Russell,Brown,MTk5Mi0xMS0xNA==
T3231,LAS,IAH,2019-09-12,6,374.45,225,Boeing-787,Phil,Fury,MTk4Ni0xMS0wOA==
Q2705,ORD,MSP,2019-12-15,5,213.12,125,Boeing-777,Robert,Greene,MTk5MS0xMS0wOQ==
R3228,SFO,DTW,2019-12-09,7,477.78,62,Boeing-787,Russell,Brown,MTk5Mi0xMS0xNA==
X2978,ORD,DTW,2020-03-30,2,376.48,59,Boeing-777,Emily,Anderson,MTk5My0wMy0yMA==
M2286,ATL,BOS,2019-09-22,5,273.49,174,Boeing-787,Phil,Fury,MTk4Ni0xMS0wOA==
Z2791,ORD,EWR,2019-05-07,5,208.7,46,Boeing-787,Phil,Fury,MTk4Ni0xMS0wOA==
V3243,LAX,FLL,2019-06-06,1,248.97,114,Boeing-747,Emily,Anderson,MTk5My0wMy0yMA==
N3093,SFO,MIA,2019-06-24,1,221.05,85,Airbus-A340,Russell,Brown,MTk5Mi0xMS0xNA==
N2413,DEN,BOS,2019-07-18,2,160.19,74,Airbus-A350,Russell,Brown,MTk5Mi0xMS0xNA==
U2698,DEN,IAH,2019-10-28,4,328.08,122,Boeing-787,Emily,Anderson,MTk5My0wMy0yMA==
D2204,JFK,CLT,2019-07-10,8,253.51,23,Boeing-787,Robert,Greene,MTk5MS0xMS0wOQ==
R3228,JFK,MSP,2020-04-22,1,231.27,62,Boeing-787,Emily,Anderson,MTk5My0wMy0yMA==
U2698,SFO,CLT,2019-07-30,6,425.32,122,Boeing-787,Emily,Anderson,MTk5My0wMy0yMA==
V2774,SFO,BOS,2019-10-02,8,423.54,142,Boeing-747,Russell,Brown,MTk5Mi0xMS0xNA==
K2295,ORD,MSP,2020-01-21,1,299.87,194,Boeing-767,Robert,Greene,MTk5MS0xMS0wOQ==
N2413,SFO,MIA,2020-02-15,1,246.97,74,Airbus-A350,Robert,Greene,MTk5MS0xMS0wOQ==
N3093,SEA,IAH,2019-05-29,10,51.38,85,Airbus-A340,Phil,Fury,MTk4Ni0xMS0wOA==
T3231,MCO,MIA,2019-11-02,5,66.08,225,Boeing-787,Russell,Brown,MTk5Mi0xMS0xNA==
D3204,JFK,MSP,2020-04-13,1,329.37,29,Airbus-A380,Robert,Greene,MTk5MS0xMS0wOQ==
V3243,LAS,DTW,2019-04-27,7,261.16,114,Boeing-747,Phil,Fury,MTk4Ni0xMS0wOA==
U2698,MCO,EWR,2020-01-13,9,127.08,122,Boeing-787,Robert,Greene,MTk5MS0xMS0wOQ==
D2204,LAS,PHX,2020-02-13,7,302.19,23,Boeing-787,Russell,Brown,MTk5Mi0xMS0xNA==
R2942,MCO,BOS,2020-01-21,8,447.12,204,Boeing-767,Emily,Anderson,MTk5My0wMy0yMA==
D3204,LAS,DTW,2019-11-30,8,236.47,29,Airbus-A380,Robert,Greene,MTk5MS0xMS0wOQ==
V2774,ORD,PHX,2019-06-21,1,204.83,142,Boeing-747,Emily,Anderson,MTk5My0wMy0yMA==
N3093,SEA,FLL,2019-10-13,10,146.42,85,Airbus-A340,Phil,Fury,MTk4Ni0xMS0wOA==
D2204,DFW,FLL,2020-01-14,10,182.25,23,Boeing-787,Emily,Anderson,MTk5My0wMy0yMA==
O2806,DFW,BOS,2020-01-22,6,187.11,133,Airbus-A350,Emily,Anderson,MTk5My0wMy0yMA==
D2204,DEN,FLL,2019-10-25,9,275.79,23,Boeing-787,Phil,Fury,MTk4Ni0xMS0wOA==
U2999,DEN,FLL,2019-10-01,1,121.14,211,Airbus-A330,Phil,Fury,MTk4Ni0xMS0wOA==
D3204,ATL,BOS,2019-09-23,4,379.72,29,Airbus-A380,Russell,Brown,MTk5Mi0xMS0xNA==
Z2791,MCO,DTW,2019-12-26,7,238.11,46,Boeing-787,Russell,Brown,MTk5Mi0xMS0xNA==
N2413,LAX,PHX,2019-05-21,9,87.4,74,Airbus-A350,Phil,Fury,MTk4Ni0xMS0wOA==
X2978,LAX,MIA,2019-05-27,7,413.09,59,Boeing-777,Phil,Fury,MTk4Ni0xMS0wOA==
V3243,LAS,MSP,2019-09-16,4,403.06,114,Boeing-747,Russell,Brown,MTk5Mi0xMS0xNA==
D2204,LAX,EWR,2019-04-26,8,354.55,23,Boeing-787,Russell,Brown,MTk5Mi0xMS0xNA==
M2286,SFO,MIA,2019-11-08,7,259.31,174,Boeing-787,Robert,Greene,MTk5MS0xMS0wOQ==
D3204,ATL,IAH,2019-08-06,9,481.12,29,Airbus-A380,Phil,Fury,MTk4Ni0xMS0wOA==
N2355,JFK,MIA,2020-01-24,10,289.36,67,Boeing-777,Robert,Greene,MTk5MS0xMS0wOQ==
U2808,ATL,BOS,2020-04-02,9,73.4,75,Airbus-A380,Russell,Brown,MTk5Mi0xMS0xNA==
D2204,ATL,MIA,2020-04-01,3,158.29,23,Boeing-787,Emily,Anderson,MTk5My0wMy0yMA==
O2858,DEN,DTW,2019-07-22,7,144.64,89,Boeing-777,Phil,Fury,MTk4Ni0xMS0wOA==
Z2791,DFW,PHL,2019-09-23,3,165.43,46,Boeing-787,Emily,Anderson,MTk5My0wMy0yMA==
M2286,DEN,BOS,2019-11-05,2,60.93,174,Boeing-787,Emily,Anderson,MTk5My0wMy0yMA==
O2806,MCO,FLL,2019-06-27,2,408.2,133,Airbus-A350,Phil,Fury,MTk4Ni0xMS0wOA==
R3228,LAX,PHX,2019-07-31,8,444.53,62,Boeing-787,Phil,Fury,MTk4Ni0xMS0wOA==
V3243,ORD,MIA,2019-08-17,10,428.31,114,Boeing-747,Russell,Brown,MTk5Mi0xMS0xNA==
X2978,JFK,PHL,2019-07-30,8,418.5,59,Boeing-777,Phil,Fury,MTk4Ni0xMS0wOA==
O2806,SFO,PHL,2019-12-28,1,103.6,133,Airbus-A350,Phil,Fury,MTk4Ni0xMS0wOA==
U2999,DFW,MSP,2019-06-26,2,389.21,211,Airbus-A330,Phil,Fury,MTk4Ni0xMS0wOA==
M2286,LAX,EWR,2020-04-19,5,246.5,174,Boeing-787,Robert,Greene,MTk5MS0xMS0wOQ==
X2978,LAS,MIA,2019-09-14,9,206.38,59,Boeing-777,Emily,Anderson,MTk5My0wMy0yMA==
D3204,DEN,MIA,2020-02-05,4,267.3,29,Airbus-A380,Emily,Anderson,MTk5My0wMy0yMA==
M2286,LAX,MIA,2019-07-31,10,431.44,174,Boeing-787,Phil,Fury,MTk4Ni0xMS0wOA==
Z2791,DEN,BOS,2019-08-06,1,355.3,46,Boeing-787,Phil,Fury,MTk4Ni0xMS0wOA==
M2286,SFO,MSP,2019-06-30,1,268.02,174,Boeing-787,Robert,Greene,MTk5MS0xMS0wOQ==
Z2791,JFK,MSP,2019-08-04,5,188.23,46,Boeing-787,Phil,Fury,MTk4Ni0xMS0wOA==
V3243,ATL,MSP,2020-03-24,1,371.14,114,Boeing-747,Russell,Brown,MTk5Mi0xMS0xNA==
V3243,MCO,BOS,2019-09-03,7,218.91,114,Boeing-747,Phil,Fury,MTk4Ni0xMS0wOA==
K2295,DFW,PHX,2020-02-24,4,412.71,194,Boeing-767,Phil,Fury,MTk4Ni0xMS0wOA==
N3093,ORD,EWR,2020-02-26,10,198.09,85,Airbus-A340,Phil,Fury,MTk4Ni0xMS0wOA==
O2858,ATL,EWR,2019-11-13,7,346.54,89,Boeing-777,Emily,Anderson,MTk5My0wMy0yMA==
D3204,LAX,CLT,2020-02-03,9,347.18,29,Airbus-A380,Emily,Anderson,MTk5My0wMy0yMA==
R3228,MCO,BOS,2019-11-08,2,91.59,62,Boeing-787,Russell,Brown,MTk5Mi0xMS0xNA==
N3093,DFW,EWR,2019-05-19,1,369.07,85,Airbus-A340,Phil,Fury,MTk4Ni0xMS0wOA==
M2286,LAX,CLT,2019-06-28,10,281.76,174,Boeing-787,Russell,Brown,MTk5Mi0xMS0xNA==
N3093,JFK,PHL,2019-10-29,5,268.88,85,Airbus-A340,Robert,Greene,MTk5MS0xMS0wOQ==
U2808,SEA,MSP,2019-05-16,4,410.52,75,Airbus-A380,Robert,Greene,MTk5MS0xMS0wOQ==
U2698,JFK,BOS,2020-01-26,1,85.88,122,Boeing-787,Robert,Greene,MTk5MS0xMS0wOQ==
O2858,ORD,MSP,2020-04-14,7,345.48,89,Boeing-777,Emily,Anderson,MTk5My0wMy0yMA==
Z2791,LAS,MSP,2019-05-28,2,89.49,46,Boeing-787,Russell,Brown,MTk5Mi0xMS0xNA==
U2999,ATL,CLT,2019-08-27,6,372.48,211,Airbus-A330,Emily,Anderson,MTk5My0wMy0yMA==
R3228,SFO,IAH,2019-10-11,1,180.77,62,Boeing-787,Phil,Fury,MTk4Ni0xMS0wOA==
R3228,LAS,PHX,2019-06-06,8,341.7,62,Boeing-787,Phil,Fury,MTk4Ni0xMS0wOA==
D3204,SFO,PHX,2020-04-22,4,339.88,29,Airbus-A380,Russell,Brown,MTk5Mi0xMS0xNA==
U2999,SFO,MSP,2020-04-19,8,300.57,211,Airbus-A330,Emily,Anderson,MTk5My0wMy0yMA==
N2355,JFK,FLL,2019-08-09,6,252.47,67,Boeing-777,Russell,Brown,MTk5Mi0xMS0xNA==
Z2791,DFW,BOS,2020-03-24,1,113.38,46,Boeing-787,Phil,Fury,MTk4Ni0xMS0wOA==
U2808,LAS,MIA,2019-06-29,8,109.33,75,Airbus-A380,Emily,Anderson,MTk5My0wMy0yMA==
V3243,DFW,PHL,2019-10-02,7,437.2,114,Boeing-747,Robert,Greene,MTk5MS0xMS0wOQ==
U2808,LAS,MIA,2019-09-07,7,189.61,75,Airbus-A380,Emily,Anderson,MTk5My0wMy0yMA==
T3231,SFO,MSP,2019-12-18,4,143.05,225,Boeing-787,Russell,Brown,MTk5Mi0xMS0xNA==
X2978,DEN,DTW,2019-06-08,10,291.43,59,Boeing-777,Russell,Brown,MTk5Mi0xMS0xNA==
N2355,LAX,PHX,2020-04-19,3,278.37,67,Boeing-777,Phil,Fury,MTk4Ni0xMS0wOA==
N2355,LAX,BOS,2020-01-13,10,313.48,67,Boeing-777,Robert,Greene,MTk5MS0xMS0wOQ==
D2204,DFW,FLL,2020-02-14,2,339.65,23,Boeing-787,Robert,Greene,MTk5MS0xMS0wOQ==
N2413,JFK,MIA,2019-10-25,5,373.84,74,Airbus-A350,Russell,Brown,MTk5Mi0xMS0xNA==
U2698,JFK,IAH,2019-10-20,2,268.12,122,Boeing-787,Russell,Brown,MTk5Mi0xMS0xNA==
N2413,LAS,MSP,2019-06-29,7,464.52,74,Airbus-A350,Phil,Fury,MTk4Ni0xMS0wOA==
U2999,ORD,MSP,2020-03-13,4,290.65,211,Airbus-A330,Phil,Fury,MTk4Ni0xMS0wOA==
X2978,LAX,CLT,2019-10-08,4,161.79,59,Boeing-777,Robert,Greene,MTk5MS0xMS0wOQ==
R3228,DFW,FLL,2020-02-22,4,84.65,62,Boeing-787,Emily,Anderson,MTk5My0wMy0yMA==
N2413,SEA,EWR,2019-07-27,3,77.51,74,Airbus-A350,Russell,Brown,MTk5Mi0xMS0xNA==
N2355,JFK,IAH,2019-07-21,9,191.22,67,Boeing-777,Robert,Greene,MTk5MS0xMS0wOQ==
N2355,LAS,IAH,2020-02-15,4,398.21,67,Boeing-777,Robert,Greene,MTk5MS0xMS0wOQ==
R2942,SEA,EWR,2019-07-13,3,65.96,204,Boeing-767,Phil,Fury,MTk4Ni0xMS0wOA==
V3243,JFK,FLL,2020-02-21,1,116.2,114,Boeing-747,Emily,Anderson,MTk5My0wMy0yMA==
R3228,SEA,MSP,2019-07-07,5,462.21,62,Boeing-787,Emily,Anderson,MTk5My0wMy0yMA==
T3231,LAX,IAH,2020-03-16,2,358.15,225,Boeing-787,Russell,Brown,MTk5Mi0xMS0xNA==
U2698,JFK,PHL,2019-07-21,5,194.73,122,Boeing-787,Russell,Brown,MTk5Mi0xMS0xNA==
D2204,LAX,MIA,2020-04-19,7,122.79,23,Boeing-787,Phil,Fury,MTk4Ni0xMS0wOA==
D3204,LAS,EWR,2019-04-29,4,475.09,29,Airbus-A380,Phil,Fury,MTk4Ni0xMS0wOA==
M2286,DFW,PHX,2019-12-18,10,253.41,174,Boeing-787,Russell,Brown,MTk5Mi0xMS0xNA==
U2698,MCO,PHX,2019-06-03,6,472.4,122,Boeing-787,Russell,Brown,MTk5Mi0xMS0xNA==
